# time,Vm1,Vm2
0.000000000000000000e+00,-6.500000000000000222e-02,-6.500000000000000222e-02
2.500000000000000052e-04,-6.500000000000000222e-02,-6.500000000000000222e-02
5.000000000000000104e-04,-6.500000000000000222e-02,-6.500000000000000222e-02
7.500000000000000156e-04,-6.500000000000000222e-02,-6.500000000000000222e-02
1.000000000000000021e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
1.250000000000000026e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
1.500000000000000031e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
1.750000000000000036e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
2.000000000000000042e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
2.250000000000000264e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
2.500000000000000052e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
2.749999999999999840e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
3.000000000000000062e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
3.250000000000000284e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
3.500000000000000073e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
3.749999999999999861e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
4.000000000000000083e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
4.250000000000000305e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
4.500000000000000527e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
4.749999999999999882e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
5.000000000000000104e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
5.250000000000000326e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
5.499999999999999681e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
5.749999999999999903e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
6.000000000000000125e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
6.250000000000000347e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
6.500000000000000569e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
6.749999999999999924e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
7.000000000000000146e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
7.250000000000000368e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
7.499999999999999722e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
7.749999999999999944e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
8.000000000000000167e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
8.250000000000000389e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
8.500000000000000611e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
8.750000000000000833e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
9.000000000000001055e-03,-6.500000000000000222e-02,-6.500000000000000222e-02
